reviewTime,helpful,overall,summary,asin,reviewerName,reviewerID,reviewText,unixReviewTime
"10 23, 2013","[0, 0]",1.0,spacebar does not work,B000A6PPOK,Adiroot,A2B661A9GMDIS2,The spacebar onthis keyboardworks isnot functional. Yes this review was typedusing the keyboard.  I am sureithas other redeemingqualities that I will never learn about...,1382486400
"07 18, 2013","[0, 0]",5.0,Great keyboard with very additional useful keys,B000A6PPOK,AdithyaG,A16HQZMZKU4EHN,"This keyboard is great for ergonomics with large buttons to reduce the need for accuracy. This keyboard has a learning curve for new users. The num pad has additional keys on the top that are very often used along with numbers and arithmetic operators. It has an Insert key which is missing in the current gen of keyboards. Home and Insert are useful for people used to old layout and for left handed gamers that use arrow keys. It has a direct button for calculator which I use very often. It has 5 programmable buttons and a favorites buttons. At my work I have these programmed for various scripts and at home, I use them for resmon.exe etc for performance analysis. These are very useful features for programmers and gamers. I have also gamed a lot on this keyboard. I am left handed and use arrow keys instead of WASD, So I didnt notice any limitations. The old versions of these keyboards had a very bad spacebar. The newer ones no longer have that flaw. The key press has improved greatly for other buttons as well. This is the best keyboard I have used.",1374105600
"04 20, 2009","[0, 0]",5.0,Comprehensive Natural Ergonomic Keyboard,B000A6PPOK,"A. Dobrynin ""Aloysius""",A2HXOW9NN7XRNT,"If straight keyboards make you feel like you're in a straight jacket trying to type, like me, then a natural ergonomic keyboard is a must, and this one is the best on the market at this time. Has everything on board that is most useful, but the key strokes could be quiter and smoother, as in older models, and when they get that right, it will be perfect.",1240185600
"02 29, 2008","[1, 1]",5.0,Works great until it fails; I've been through three,B000A6PPOK,"A. Fabbri ""afabbri""",ABC68JUCPTVOE,"I've been through three of these keyboards now.  I like the way they feel and work.  I'm in the software biz so a good keyboard is very important--  I use it so much.Unfortunately, this is a disposable keyboard.  The first one I had failed when I dropped a *single* drop of water in it.  I let it dry out for days; still didn't work.  I even tried to take it apart and clean it.  All that did was convince me what a cheaply made keyboard this is.Still, I knew it worked for me, and I need to spend my time working, not shopping for keyboards.  So I ordered another.  It just quit working.  then I order another.  Today I spilled coffee on it.  I quickly inverted it on a towel and let it sit for hours.  It still didn't work.I am careful with liquids around my gear, but in the morning my coffee is always close at hand.  After adding three of these keyboards to the landfills, I'm determined to find another model I like that isn't so disposable.  One with good ergonomics and no big L-Shaped enter key (which displaces the backslash where my laptop-friendly fingers don't look).",1204243200
"09 30, 2008","[0, 0]",4.0,Spacebar could use some work,B000A6PPOK,"A.G.S. ""artist""",A3V9GPA2E18A7P,"All around a very good keyboard but the fact that the spacebar is so hard to press down compared to previous versions makes me think others are right. The spacebar really needs to be fixed. Splitting it into two would probably be the best route. I do hope the play on the key eases up with some use, or I can see getting some cramps in my thumbs.",1222732800
"09 12, 2011","[0, 1]",2.0,It's too big,B000A6PPOK,Agzam Ibragimov,A3EZEUL68ZBSVS,"This keyboard is so big, that it takes so much space on my desk, I can't even have junk on my desk anymore. I hate the additional functional key, I accidentally press it all the time. Space key is so uncomfortable...",1315785600
"08 7, 2007","[3, 4]",4.0,"Quality keyboard, made better with a simple hack",B000A6PPOK,Aileen Chen,ADZKP93810RSP,"I recently switched to an ergo keyboard at home because my wrists started to hurt. I play games at home and am on the computer all day at work, so in hindsight I probably should have put the ergo kb in at the office but I guess anywhere is better than nowhere.I bought it because I wanted to try out the ergo keyboards. I'd been using flat keyboards, but still found occasional pain. There are very few ergo keyboards made today, but I think this Microsoft one is the best.Pros:- The keys offer solid tactile feedback (unlike the mushy feeling from logitech's ergo kb) and are easy to push (unlike the belkin keyboard that I tried).- Out of the box, the F keys are locked in their normal (F1 - F12) position- Wrist pad is made of a comfy pleather materialCons:- Offers no USB Hub/additional USB ports- toggle in the middle of the keyboard is useless as a zoom but with a simple hack (google: microsoft ergo keyboard hack) it can be way more useful as a scroll wheel-----Bottom lin: If you want an ergonomic keyboard, definitely consider this",1186444800
"08 29, 2013","[0, 0]",5.0,I hope they never take this keyboard off the market,B000A6PPOK,A. Johnson,AI2CT570EO422,"I've used this keyboard for a good 6 years now. Love it, won't type without it.My only complaint: the paint wears off the keys quickly, which frustrates other people who try to use my keyboard but I never notice.I've bought this keyboard at least four times now (a couple times for home, once for use at work).  This most recent purchase was for use with a netbook.",1377734400
"03 20, 2007","[0, 0]",5.0,Awesome keyboard - why can't Apple design one like this?,B000A6PPOK,"A. Khosla ""houziwang""",A35OS2GW34C6V2,True confessions - I'm a Mac junkie. But after discovering my fingers couldn't use the Apple keyboards I tried the MS 4000 keyboard. WOW! The only MS product besides Excel that I can truly clap for. Simply awesome. And it did everything it advertises right out of the box (once you install the software). I'm going to get another one for my work place.,1174348800
"01 20, 2013","[0, 0]",1.0,Failed After Two Months,B000A6PPOK,Alan Dale Daniel,A2H0T0PY5IMEFX,"I purchased this keyboard for Christmas 2012.  It is now the end of January 2013.  The keyboard has failed.  While it was working I liked it, but the key touch is amazingly soft.  I like a keyboard with a click kind of touch.  I have an Apple and the keyboard just stinks.  Nonetheless it keeps working.  Failure after two months just isn't acceptable.What to do?  Looks like I'm out the bucks because Microsoft built a crummy keyboard.  My wife will try and send it back.  Hopefully, Amazon will stand behind their products.  They always have.AD2",1358640000
"07 16, 2013","[0, 0]",5.0,Great product,B000A6PPOK,"Albert Martinez ""Al_Martinez""",A2K9TLO0XXBDVT,"Clean, no wrist strain, no problems. Looks cool too. Excellent product, helpful keys on it make it very useful for programming.",1373932800
"02 11, 2010","[0, 0]",4.0,Great keyboard,B000A6PPOK,Alejandro Mora Diaz,ACH0SC0HU8GR4,"This has been so far the best keyboard I ever bought. Its nice looking and easy to get accustomed to, just spend a few days typing in it and I can type as fast as I used to with the previous keyboard I had (standard). Great palm rest support allows you easy typing, also it comes with a lot of extra keys, and they are easily customizable using the provided/downloaded software from Microsoft.ProsEasy to use.It has a lot of keys.It is pretty good looking, it has a great palm rest support and it is also pretty sturdy.Great Windows 7 support, just plug and play.Cons.Space bar makes a lot of sound when pressed. (not too much but i kinda don't like it)Despite the fact that it comes with multimedia keys, it lacks the buttons for previous and next track, so it's a little annoying, there is a work around to assign them to one of the 5 ""favorites keys"", but you have to do a little Windows registry hack.Sometimes the extra keys lag a little while when you first pressed them, it disappears right after you press another key or the same one, I think it's a known issue of the Microsoft Intellitype software, I hope they fix it someday.Bottom line.Great keyboard, great ergonomics, but the space bar sound its too loud for me. Other than that, I'd recommend it for people who want to take care of their wrists and want to change to an ergonomic type keyboard.",1265846400
"08 21, 2013","[0, 0]",5.0,Great keyboard,B000A6PPOK,"Alex ""Alex""",A1P3Q2UIWVSUB0,"Great keyboard, well designed and comfortable to use.  The only down side is that it's not particularly spill resistant, but still worth it.",1377043200
"11 28, 2010","[1, 1]",3.0,The worst Microsoft Natural Keyboard so far,B000A6PPOK,"Alexander Ostrovski ""kanycma-fan""",A1WGYVIQ094GX5,"I type a lot (5-10 hours a day) and have been using the curved Micorosoft Natural keyboards since they first arrived.  Need to say that they are gradually degraiting (both how they are built and ergonomics).I bought this one, used it for a while and swapped back for the Natural Keyboard Pro (not available anymore on Amazon, but you can see the image here: www.amazon.com/Microsoft-B61-00002-Natural-Keyboard-Pro/dp/B00002JXFH.  Not ideal as well (flimsy and squeeky keys), but way better.I would also recommend the Microsoft Natural Keyboard EliteMicrosoft Natural Keyboard EliteorMicrosoft Wired Natural Keyboard Elite Win PS2/USB English North America Black.  In fact I think I like the ergonomics of it more and use in some cases at work.What is good: Functionality.  Looks good.What I didn't like: Too flat.  The curve could be more pronounced. Keys are flimsy and some don't register when hit; diffeent strength is neet to strike them and when you strike at an angle, like Q, A, Z, it skips them basically making proofreading with a lot of corrections a must and this was the last straw that broke the camel's back (I don't know who is the camel in this case: me or the keyboard).Other thoughts: I still don't undersstand why Micorsoft started putting a lifting bar to elevate the row QWERTY as oppoesed the row ZXCVB in the early models - this strains the wrists even more!",1290902400
"09 28, 2009","[0, 0]",5.0,Best Ergo keyboard I've ever used.,B000A6PPOK,Alexander S. Loa,ASSRQUXGGU1EO,"This keyboard is the best I have ever used. I do a lot of keyboarding through out the day and with this keyboard I barely notice it. I bought this keyboard because I started having writst pain and within a day or two it was completely gone. I had to purchase a new one because of a leak above my desk soaked my last one and I just about left for the day once I found it didn't work anymore. Even after a full weekend of drying it wouldn't work.If you want an affordable simple to set up and quite dynamic keyboard then this is the keyboard to buy. For first time Ergo users it takes some getting used to especially with the reverse angle spacer on the front but your wrists will thank you if you leave it on. I have used others including the ""wave"" and it's just not even a close match. Don't buy the Desktop 7000, even though the keyboard looks the same the wireless version misses keystrokes quite often. Even when the receiver is right next to it. Stick with this one and get a wireless mouse. It's the best combo out there.",1254096000
"03 7, 2013","[0, 0]",3.0,"Good, spacebar issue should be addressed however",B000A6PPOK,Alex K,A3KZDS16VTCBCD,"The angle is great, the wrist wrest is almost perfect. But the space bar does stick a bit and is noisy. Definitely a flaw in the product, could be a deal breaker for anyone who types for long periods of time. Hopefully this loosens up with time, I'll edit this review in a few months.",1362614400
"01 9, 2014","[0, 0]",5.0,No wrist pain ever with this keyboard,B000A6PPOK,Ali,A20W55PTAUBWZK,"i've been writing software for 13 years and have always used ergonomic/split keyboards.  As a result, I've never had wrist pain.  They split keyboards keep your wrist straight and prevent the inflammation associated with traditional keyboards.-In terms of how this keyboard stacks upI've been using it for 3 years at this point and it is still holding up nicely.  A couple of keys have &#34;rubbed-off&#34; but overall it still looks good and all the keys still have good spring and feedback.-FeaturesI don't use the programmable keys much.  It's nice that they're there, but i rarely reach for them.-OverallGreat keyboard that's well worth the price.",1389225600
"10 6, 2011","[0, 3]",3.0,I wish I had it but amazon screwed up,B000A6PPOK,Alive and Well,A2ML5RT6D3QC50,"Pros: I wouldnt really know.  Looks nice and the info based on what I read about it made me buy it.Cons: Amazon.com screwed up and mailed it to the WRONG location.  There was also a razer mouse that was sent to the wrong address and the CS rep had informed me on the phone and also via email that he would have the mouse sent to my correct address.  Instead, he send this package TO THE WRONG ADDRESS.  FUBAR Amazon....",1317859200
"11 5, 2013","[0, 0]",5.0,Excellent Keyboard,B000A6PPOK,"Allen Harkleroad ""Most Dangerous Consumer in ...",A26274NGL8TNDQ,I've been using the Natural Ergonomics Keyboards for years. I use a computer about 10 hours a day and they keyboard relieves wrist stress.,1383609600
"09 24, 2012","[0, 1]",5.0,Good Father's Day Present,B000A6PPOK,Alli K,A3HRICS5J0RVR2,"My father is a professor and has to type a lot. He purchased a new computer within the last year and had a regular keyboard, which he didn't love. So I found this one and he loves it. I think it makes a big difference comfort-wise for him since he is on the computer so much. Good present!",1348444800
"10 13, 2011","[0, 0]",4.0,"Only one complaint, otherwise excellent",B000A6PPOK,Almost Sixty!,A96C98SCPMWLH,"This is my second Microsoft Ergonomic keyboard, only because all the letters wore off of the first one. I know you can order replacement stick-on letters, but this time, right out of the box, I applied clear nail polish in three coats on all the letters so they don't rub away. I use the keyboard many hours in the day and wish this wasn't a problem with keyboards in general. Otherwise, I do love the keyboard and it is excellent for wrist/arthritis relief as I type.",1318464000
"04 26, 2013","[0, 0]",2.0,Lasted a little over a month...,B000A6PPOK,Alyse,A34S5KKOKVXHUE,"Unfortunately, I wouldn't recommend purchasing this for daily use (if at all).I got this for my boyfriend because he loves the ergonomic style keyboards, but the B key has since stopped working, a couple of other keys are sticking (and he uses it only at work, 8 hours a day but never anything sticky around it.It's simply poor quality, which is a shame, because I have to spend more money on a decent keyboard now... Get what you pay for, I suppose.",1366934400
"12 5, 2008","[1, 1]",1.0,Space bar too sensitive...keys repeat..pretty much unusable,B000A6PPOK,"Amazon Addict ""Amazon Addict""",A2NNCCH475532G,"Just resting my thumbs on the space bar causes repeated spaces to be typed. Seriously, I don't even have to press the space bar, just touch it, or breath on it. At first I thought my keyboard was possessed and I could barely type anything legible. I also have problems with letters and keys being repeated, even though my fingers are off the keyboard. The delete key has this behavior as well, which has caused me to inadvertently 5-10 emails until the delete button decides to unpress itself. I give up!",1228435200
"05 6, 2008","[2, 2]",4.0,Better Than Microsoft Wireless Optical Desktop Pro,B000A6PPOK,Amazon Addict,A2UTU1T0P7YTSG,"I recently bought this keyboard as a replacement to my old Microsoft Wireless Optical Desktop Pro keyboard. This keyboard feels better, types better, and has a much more comfortable wrist rest. Actually, of any keyboard I have tried this one is probably the best. My only complaint thus far is that the spacebar is rather loud, but I'm hoping it will quiet down a bit after I break it in a bit. FYI, I'm using this keyboard on a MacBook and have not encountered any Mac issues, everything works so far!",1210032000
"01 24, 2007","[2, 3]",5.0,Just about perfect!,B000A6PPOK,"Amazon Customer ""Bill""",A2BSCP6IOIUQ33,"I had the original Natural Keyboard Pro for going on eight years and it was starting to get a little worn out.  I was eyeing up this 4000 for a while now, waiting for it to go on sale.  A competitor (blue & yellow anyone) had it for $29.99 this week, so I ran out and got it.I really like the feel of it, the keys are solid and I really do like the split it gives.  Some of the keys are a little larger (H & N) and they take a little getting used to, but overall it's a great keyboard.I really like the new ""function"" keys that the keyboard has.  Basically it reassigns all of the F1-F12 keys to various functions that work with all sorts of programs and you can customize them if you like.The two things I wish this keyboard did were 1) serve as a USB hub like my old Natural Keyboard did, and 2) I wish the Zoom key worked as a scroller rather than just zooming in and out on images.  It will scroll with Word 2007 and Outlook 2007, I am not having any luck with IE 7, even though I did install the keyboard software today at version 6.1 (latest and greatest).Other than that, it's a great change from my old keyboard.  The new wrist pad at the bottom is cushioned and should wear just as well as the old hard plastic.  It definitely feels better on my wrists - that's for sure.  I did remove the wrist lifter on the bottom of the keyboard.  I just didn't like being at that angle. Maybe I'll try it again later, but for now I prefer it to be where my old keyboard was.Microsoft has another winner on it's hand.  I also like that it's not wireless.  I sit at my desk when I work, I have no need for wireless.  To me, that's just crazy - one more thing I need to remember to charge or else I'm sitting cold turkey.  Just because it can be made wireless, doesn't mean it should be wireless! (that's all I have to say about that)",1169596800
"09 16, 2013","[3, 3]",1.0,"Broken ""b"" key. Customer has to pay shipping to get warranty replacement from MS. Lame.",B000A6PPOK,"Amazon Customer ""data ninja""",A293UGXH0CXZKY,"PROS:- Nice keyboard.CONS:- A broken key. (I understand this could happen)- Warranty replacement requires shipping the defective unit at *my cost* (I don't understand this)I've been a fan of MS Natural ergonomic keyboard since late 90's. It helped a lot when I had carpal tunnel syndrome back then, and I've been buying one every 3 years or so.This is the first black one (not gray) that I got. Some warned me about poor responsibility of the space bar. It was OK. But after a month and a half after the purchase, I found the ""b"" key was not being responsive. I had to press it all the way in for it to register, unlike other keys that require only light push. Shame on me for noticing this so late, after all the mysterious typos. (I had thought my touch typing just got more lame)Since I missed the window to return this to Amazon, I called MS customer service, which I usually dread for any company. The call got answered in a few minutes and the talk went smooth. But in the end, they wanted it to be shipped to them at *my cost* before sending me a replacement. Maybe it's the current industry standard practice but I found that pretty bad one.I ended up doing some physical hacking and doing my own fix.If I'm not happy with that hack, maybe I will buy a new one, not bothering with shipping it back.Come on, shipping it back is ~$10 shipping plus finding correct boxes and trips to/from the shipping place. Easier to shell out another $30 for a new product (which I will make sure working in the first week!).",1379289600
"09 22, 2013","[0, 0]",5.0,Great Keyboard!,B000A6PPOK,"Amazon Customer ""EAJ""",A3VJ86CORPCWD5,Bought it for my husband whose old keyboard was slower than his typing. This one is comfortable to use and keeps up with him. He's VERY happy with it.,1379808000
"03 29, 2011","[0, 0]",2.0,Stiff keys that don't register so well,B000A6PPOK,Amazon Customer,A37E5KVAKOZFVS,"After getting tired of aches and pains associated with keyboard use, reading lots of great reviews about this keyboard, and finally getting a deal on one here, I gave it a shot.  For about a month, I used this as my primary keyboard.  Then, I happily unplugged it and am hoping now to find it a new home.I could handle the sheer bulk of it, though I didn't care for it.  I even got used to the fact that I often mistyped things (I use a sort of modified touch typing method where the finger closest to the key in question hits it rather than the ""right"" finger) because of the curved layout.What I couldn't get used to was the feeling that I needed to reach down into the keyboard (because of the length wrist rest) and pound the keys to get them to register.  The space bar was especially problematic. I couldn't just ""tap it"".  I had to whack it pretty hard, and even then it often didn't register. I ended up going from a touch typist who didn't have to look at the keyboard often to someone who had to keep staring at the keyboard to figure out where the heck some of the keys were or why I kept getting a B when I wanted an N.It may have helped shoulder and wrist pain a bit, but it caused my fingers to hurt terribly from having to hit the keys harder than I liked.Apart from those complaints, the keyboard worked as designed, required no special installation effort on Windows 7 x64, and the various little extra buttons all did what they were supposed to do.For now, I've gone back to my Logitech G15 which isn't ideal but suits me a lot more than this one did.",1301356800
"05 6, 2012","[0, 0]",5.0,Still the best big/wide split keyboard for the money,B000A6PPOK,Amazon Customer,A3DX4Y8OAF2Z7Z,"I continue to look for a ""better"" split large keyboard and for the money, there isn't anything close. As a software developer who writes code, but also writes detailed documentation, emails, etc, as well as being a big guy with big hands, I keep thinking there is going to be some expensive but much better keyboard. For the $30 to $50 or so you get these for, I've yet to see something near as good. If anyone who reads this knows of something better, please do reply and let me know. For now, this is still the best out there, and for the price it's by far the best bang for buck.",1336262400
"06 19, 2013","[0, 0]",3.0,Didn't last too long,B000A6PPOK,Amazon Customer,A1Z7U5U05Q5QN5,"I have only had this keyboard for 6 months. I thought going back to a wired keyboard would eliminate the problem of the lag a wireless keyboard presents. Which it did, for the 6 months I have had it. This keyboard has never been dropped and has stayed in its rightful place; on my desk connected to my laptop. I woke up this morning and it stopped functioning. I can only come up with the conclusion that the USB cable was no longer being read by the port and/or the wiring was faulty. I thought it could have been my lap top but I currently have a USB device plugged in for my mouse and it is working and reading it just fine.I give it 3 stars because the keyboard's ergonomic design was fantastic, and the feel was great. It did not strain while I type which I do a lot of for work. I am very disappointed with the lifespan. I actually considered purchasing another one because the design is really that good, but refrained because I didn't want to have to purchase a new keyboard every 6 months.",1371600000
"04 25, 2013","[0, 0]",5.0,Still one of the best,B000A6PPOK,Amazon Customer,A2U2YEZD7P417B,"I have used this keyboard for over 3 yrs now and just recently bought one to use with mac. Hands down this is one of the best natural keyboard money can buy. I used it with Windows/Linux and Mac and it works flawlessly. After I got use to this keyboard, i cannot use any other keyboard.",1366848000
"07 24, 2013","[0, 0]",4.0,Favorite keyboard,B000A6PPOK,Amazon Customer,A1FZKP9XTKMALD,I like how it feels. The space bar is the cheapest part of it. But it's my favorite keyboard. Been buying this model for the last 4 years. This is my 3rd one.,1374624000
"01 24, 2014","[0, 0]",4.0,Get ready to pound on some keys,B000A6PPOK,Amazon Customer,AKUFE55HE2EA7,"I love the shape of this keyboard but I hate the amount of force you have to use to type. Also, go with the wired, if you're on the fence. The wireless stop responding all the time :-/",1390521600
"03 30, 2010","[0, 0]",1.0,I want my old keyboard back!,B000A6PPOK,Amazon Customer,A32YZF49WCFSN4,"The previous Microsoft keyboard was great. After many years, it needed to be replaced. I thought this would be a reasonable replacement. They've moved some of the keys. Why? I'm constantly hitting Home when I want Del.Worse still, the paint has rubbed off many of the keys. Nothing at all on E. S and D are nearly gone. M is unreadable. C soon will be. L looks like I.Shoddy, shoddy, shoddy.",1269907200
"04 7, 2013","[0, 0]",3.0,Ergonomic but noisy,B000A6PPOK,Amazon Customer,A2YSS9ZE45V5JA,"The space bar makes the most horrendous clack. Rather irritating but overall a good product, makes typing easy and cushioned wrist pad is wonderful, with the adjustable feet (could do with maybe one more position) and the elevator for the cushioned wrist pad, it should be easy to find a comfortable typing position.The noise the keys make - ok the space bar that is entirely another story.",1365292800
"12 26, 2013","[0, 0]",5.0,Comfortable,B000A6PPOK,Amazon Customer,A3E6DPS5U1PCH9,"This keyboard takes some getting used to at first, however once you get the hang of it, it's very comfortable and helps with the joint pains. It also has an extra piece that is removable which works well to adjust it as needed.",1388016000
"05 16, 2014","[0, 0]",5.0,Five Stars,B000A6PPOK,Amazon Customer,A3O5UR6NHR4MRP,Very comfortable to use.,1400198400
"08 23, 2011","[0, 1]",3.0,Same problem as other Ergo boards,B000A6PPOK,Amazon Customer,A1MDCZMZ880DFZ,"This unit has the same problem as other MS Ergo boards:  The split on the upper number row is in the wrong place, according to how I was taught to type.  I was taught to use the right index finger to type the number 6 in the upper row, but this board wants me to use the left.  If I were doing a lot of typing with numbers, as I have in the past, this would drive me crazy.  Most of the heavy entry I've done has been mixed alpha-num, and I'm relatively fast at it.If MS had just put either a bridging key, or two 6 keys (one on each side) up there, it would make a world of difference!",1314057600
"11 2, 2013","[1, 1]",1.0,Eww just ew,B000A6PPOK,Amazon Customer,A3NLI44GQY8K48,"I am going to type this review on a different keyboard that has random keys that don't work because it is preferable to the new Microsoft Natural Ergonomic Keyboard 4000 that I just bought (and have subsequently filed to return). I have been using a Microsoft Comfort Curve 2000 for many years. It has served me well, and I can type really fast on it. I don't measure my WPMs but I type considerably fast you'll just have to take my word for it. I bought this keyboard thinking it would be the next iteration. Newer = better, right? I was sorely mistaken. I gave it a week and I hate this board, and I am willing to bet you will too, unless your hand is already severely deformed in a matching arc to fit this keyboard.PROs:It's a keyboard, and has tons of multimedia buttons. The full number pad worked well, but that's because Microsoft didn't try to do anything fancy with it. It's sleek, shiny, and black and not polka dotted or striped. And the wrist rest is some super lush exotic material that feels softer than a baby's bottom. But, that's about it for pros.CONs:As mentioned throughout the other reviews here, this keyboard has a really crappy space bar. I read this and thought maybe it wouldn't bother me, but it did. Not only is the space bar really hard to push down, but when you do it makes a really loud sound that is not a click, or a push, but a really unnatural sound as if you are breaking the button. I obviously did not wear the keyboard in to see if this went away but other reviews don't mention it going away.I am a gamer. I hear you judging me, ""So why buy an ergonomic keyboard then?"" Well, I'm also a web programmer. (And btw the Comfort Curve 2000 keyboard was amazing and was NOT uncomfortable for gaming.) Anyway, the positioning of the WASD keys is perfect. However, if you are in a game where you need CTRL, SHIFT, or the space bar, you may run into issues. I had difficulty hitting those keys properly. And in a game where I had to hold ALT to run, the key did not register properly. I had to remove my hands from other keys so I could push down on ALT with all of my might in order for it to register and stay down.I also have another issue. I'm including it, but not blaming it on the keyboard. It's apparently just a typing ""quirk"" that I have. I find that I hit a few keys ""improperly"" such as I hit the B key with my left hand. Doesn't seem that I always do this, but I apparently do it enough and with this keyboard it is impossible to do. I get that it forces you to type properly, but I don't like to conform, and I just couldn't get used to this change.The multimedia keys were great. Except it is impossible to hit any of them reliably. You will have to turn on a light to be able to distinguish them. And, if your keyboard is on a keyboard tray like mine, that means pulling it out all the way to be able to get to those keys. (This is a big, clunky keyboard.) Not to mention, for you keyboard tray users, make sure that the arc will fit under your keyboard tray. The keyboard comes with an attachable foot to raise it up, but this raises the keyboard up so high that it won't fit under the desk. Also, I found that it raised the keyboard at such an odd angle, that it was as if you were trying to type with a wall in front of you. You know when your cat is in front of you and you're trying to keep typing while arcing your arms over the cat's back? Yeah, that's what this feels like. And you don't get the adorable cat.Other questionable decisions: I didn't like that the F1-F12 keys all had the numbers hidden on the recessed side of the key instead of the face. And the ESC key seemed to be floating on an island where it was difficult to press. Oh and the CAPS lock and SCROLL lock lights being right at the front, well it was kind of annoying to have them shining there constantly. I like them at the top of a keyboard so I can push them under the desk ledge and not have to see them.Overall this was a horrible decision. The 2000 keyboard series is not being made anymore, so I am going to try the 3000 and hope it is better. Until then, I type on a Logitech mini keyboard and my hands hurt like hell. OW!",1383350400
