helpful,unixReviewTime,reviewerID,reviewText,reviewTime,overall,asin,summary,reviewerName
"[2, 2]",1224633600,A2NA9VZN5VA9GW,"I bought a pair of these.... over 20 years ago! They still work, and more important, sound fantastic! I've replaced the ear pads due to age, but that's it.What stands out about these today, just as it did back in the early 1980s is the true high fidelity sound quality - including true extended bass. From low bass through the highest treble, these are well balanced and natural sounding. More money will buy a headphone that excels in one area, but to truly outperform these overall is getting up there. To add more transparency to the musical reproduction is going to just plain cost you - and they will be a larger set.In closing, I misplaced my pair (since found) and spent $50 on a pair of well respected affordable AKGs. These sound better.Highly recommended!","10 22, 2008",5.0,B00001P4ZH,These have truly stood the test of time!,A. Maier
"[3, 3]",1214870400,AUY3CWAZDVGT5,"These are one of the best headphones that can be bought for the money!PROS- Great sound, I listen to Rock and Pop mp3 music mainly, and that sounds great! All friends who are accustomed to junk earphones that come with the iPods are just amazed when they listen through this!- Comfort! You just don't feel them on your head after some time.- Lifetime Warranty! I bought them at Amazon in 2004. Was having some troubles with one earpiece not working properly, and all the foams were gone. I got them repaired absolutely free (just paying the shipping costs), and that too in India! They are like new now.- Price! Bought them for $35 at amazon.- Portability is decent. They fold and don't take much space.CONS- Sound leaks. I use them at office, and cubicle mates sometimes tell me to lower the volume- Looks, as others have said, they definitely look awkward.Overall, unless you want earbuds/noise cancelling phones/audiophile quality, you cannot go wrong with these.","07 1, 2008",5.0,B00001P4ZH,Best headphones for the price!,Aman Gupta
"[1, 1]",1392249600,AQ4T1DUD9HI3F,"I've been using these headphones for over a year now and they're simply excellent.I know some have an issue with the style, but all I really care about is the sound quality.It's terrific.","02 13, 2014",5.0,B00001P4ZH,Excellent Quality,A. Marshall
"[2, 2]",1324425600,A6312S8QYEDED,"These headphones are really great, unfortunately mine broke early on. The return policy calls for you to ship the items back to Koss + $9.00 shipping and handling. I stood up and literally tore the cables out. In my own defense, they're not secured in tightly. I still give the headphones four stars because I believe they're stylish and the sound is really great. They really fit a comfortable niche for those that do not want sound-isolation; and, they have a really strong ability to throw sounds and convince you that you have more than two sound channels.","12 21, 2011",4.0,B00001P4ZH,Holy mother of price hike!,"Amazon Customer ""Evan Carroll"""
"[0, 0]",1402531200,AYNE96AZ7GLLB,"Stop looking and just get these. They don't feel as comfortable as some other headphones, but they sound great!I love the retro look too.","06 12, 2014",5.0,B00001P4ZH,sweet sounds,Amazon Customer
"[1, 1]",1241308800,A31QX4MCDU5235,"I liked these headphones, pretty much what I paid for.  The metal band on the top grabs hair sometimes if you adjust it on your head... so just don't do that and you'll be good.Good sound, fairly comfortable.  Essentially just what I wanted.","05 3, 2009",4.0,B00001P4ZH,Good Value,Amazon Customer
"[1, 1]",1337299200,A93JRHV3FRSZP,"They are collapsible, comfortable, they have great sound quality (good bass), and they come with a lifetime warranty. How can you not buy these?","05 18, 2012",5.0,B00001P4ZH,A must buy,Amazon Customer
"[3, 3]",1168041600,AM76TKHVICZC6,"follow-up comment, June 11, 2007I ended up sending one of the broken headsets back to Koss, along with a $6 check.  Turns out, these have a lifetime guarantee, and for $6, they will repair or replace them for you.  I got the new pair in rapid order-- total turn-around was about 10 days.  Caution--if you send these in for repair, do NOT include the pouch;  they returned only the headphones, without the pouch.  Anyway, it was really nice having the new headphones.  BUT, this morning, I picked them up to put into the little carry pouch I use for my Nano and headphones, and found that the left earpiece was dangling again, broken at the swivel point.I really like the comfort of these headphones and the fact that I don't have to crank up the volume to hear.  But, I am now actively looking for a replacement to use, as these are obviously too frail for the constant folding and unfolding they get for my commutes to and from work.  Sorry to have to do this, but I would change my 4 stars down to 3 (but Amazon is not letting that happen).If you will not be stuffing these in a storage pouch but will be simply laying them on a desk or table, then these are great.  If you plan to fold and open a lot, I now suggest you look for something more durable.Sorry, KOSS!------------origianal review Jan 6, 2007:Quality good enough to make me get  a 3rd pairI have gone through 1.5 pairs of these things, now (my current pair is nearly ready for replacement).  The first pair finally broke apart while folded in the soft bag that comes with it (I had had those about 6 or 7 years) -- I took them out and the left earpiece had broken at the plastic attach point and was left hanging.  My second pair is now only 2.5 years old (purchased April 2004), and the wire at the plug end is getting iffy.  If the wire moves, sometimes the phones go into single ear mode, so I guess one of the wires inside the very thin cable is breaking at the joint.  This plug has a right angle into the player, and it is right at the cord end of  the right angle piece where the wire is weakening.  I am going to try taping it here to keep it from moving, and see if that solves the problem temporarily.I do side by side test with this headphone and others used by other individuals.  I ask them to put the volume where it won't blow out my eardrums, then I listen using their phones and settings.  I then plug in my portapros, and listen.  So far, I have not found anyone's setup to beat  the quality and clairty and volume delivered by these phones.  Usually, I have to turn the player DOWN when I plug in my phones because they pick up so much more than others.If you are prepared to buy a new pair of these every 5 years or so, then these are definitely a good deal.I just wish Koss would send a hard case for storage since I do believe that the soft case does not protect them enough when they are stowed.  Koss could also thicken the cable a little bit to make it more durable, or do a gradual thickening as the cable nears the plug.  When I get a new pair, I will tape that end of the cable to try to postpone this problem -- less than 3 years is too soon for this to happen.Becasue of these two design flaws, I rate these a 4 intead of the 5 that the quality of sound delivers.I listen to jazz, smooth jazz, pop, rock, and audiobooks primarily.Happy listening!","01 6, 2007",4.0,B00001P4ZH,not durable enough -- my revised review changes star rating down to 3 stars,Amazon Customer
"[0, 0]",1401321600,ASY5SLOQQNPR9,"I bought the Sennheiser PX200 and returned them since they hurt my head (7 3/4 hat size). These headphones sound better, (better range and low end), fit better, and cover more of my ears.  Solid value.","05 29, 2014",5.0,B00001P4ZH,Excellent Value,"Amazon Customer ""Michael Freedman"""
"[1, 1]",1299110400,AQD5KJ615OHJN,"Most anywhere on the web you can find these for between $30 to $40 bucks and they are well worth it. I tend to be a bit of an audio snob but I'm using these on a cell phone and occasionally an Ipod. So I understand those aren't going to be able to push a lot of power in order to get a full range.Even with that being the case I was pleasently surprised with the efficiency of these. You don't have to turn them up very loud to get a full sound. Bass is very strong, it can be a little too strong at times depending on your musical taste. I listen to a wide range, from classical, to Hip-Hop and for things like Jazz and Classical I find that these struggle a little because the sound separation is okay, the highs are a little on the flat side and the bass can be a little imbalanced. This isn't to say they sound bad but for music demands with a high range then these aren't going to do as good as they would for something like Mos-Def for whom these are exceptional. The construction is pretty good though the design is very dated but I can live with that because I'm concerned about the sound it produces not how cute they are.If good sound is what your looking for at a great price just listen one time and you'll understand why they're considered classics. For a $30 price you can get $100 sound.","03 3, 2011",5.0,B00001P4ZH,Great Value for the money.,"Amazon Customer ""racanelv"""
"[8, 10]",1195689600,A2VR3SNZMCUTZ6,"Amazon just reminded me that I purchased these from Amazon in 2000.These PortaPro's used to be THE standard as the most comfortable and best sounding headphones for portable, PC and casual listening. You can't go wrong at the price point.On my Cowon IAudio U3 player (MUCH better audio, watts, than any crApple Ipus), where one can really hear the quality of audio. It has several audio formats that include the superior open source formats like the losless FLAC and the best lossy format, Ogg.I listen to different types of music, classical, classic rock, blues, progressive,  audio documentaries, audio books.I am one that really loves to listen to music that is distortion free as possible. I love clear, clean sounds that are natural where you can really pick out all instruments, little nuances in harmonies. Where quietness, silence in a song, will be totally quiet.I have that as good as the PortaPro's are, they give more of a distorted sound, especially with distortion at bass. I say this in compariason to Sennheiser Headphones and what I see as the best of breed, the Sennheiser PX100s.Someone called them ""livier"" than the PX100s, where I totally understand what they are referring too. The ""livier"" part is why I gave them to me son. That is distortion, especially at bass. I don't like distortion or over amplification that creates distortion.But if one prefers that heavier, distorted bass sound, which many do, these are the ones.They are SOOO comfortable, but then again so are the PX100s.I for one, couldn't care less what others think if they look cool, ugly, whatever. What is essential is the comfort and audio quality.If someone is really bothered because they are NOT in a style that is not currently marketed, then I feel the issue is withe the individual, not the headphones.They really are great and I see at 29.99, a great buy.OR ... if you want, you can pay of $100, and get some heavily marketed headphones that are more stylist, but will be a more more uncomfortable and probably not sound as good as the PortaPros or the PX100s.I also will tell you that I cannot stand the headphones that are made to drown out sound. For one, the headphones that do allow air SOUND BETTER. The headphones that totally cut out air and environmental sounds, literally  give me a headache.I too want to know if someone is trying to get my attention or if their is some kind of loud noise that I should be aware of.JonAs for me, I have my PortaPro's to my son several years ago.I love a listen to music that gives me the most distortionless","11 22, 2007",4.0,B00001P4ZH,Excellent ...but I prefer the Sennheiser PX100 - both great,"Amazon Customer ""Use Open Source - Firefox, etc"""
"[3, 4]",1105747200,AZ0SIZRQWN7RC,"The Koss Porta-Pro looks delicate, but its folding design belies a hardiness that competitors should try to emulate. All headphones require a ""burn-in"" period before they sound their best, and that's certainly true of the Koss Porta-Pro.After burn-in, they show themselves to be equal to their reputation. Retailing between $30 and $40 or so, they offer good fidelity at low to medium volume, but grate a bit when pushed too hard. The Porta-Pro works nicely with a variety of musical styles, pop and rock to jazz, but occasionally has trouble with the distortion levels of punk; this may not be a problem with most listeners.While the sound is clear and offers fine fidelity, songs often lack ""color"" -- a common complaint with less expensive headphones. Yet, compared to its competition, the Porta-Pro offers a much cleaner sound; no irritating bass thump on these phones.These are the iPod phones of choice.","01 15, 2005",4.0,B00001P4ZH,"Good phones...for the price, anyway",Amazonian
"[4, 4]",1112486400,A36EWCNCF4OQG8,"I've had my PortaPros for several years now, and they've served me very, very well.Pros:- Best sound I've heard in a small portable headphone. (My Grado SR-80s sound better, but there's no way you'd walk down the street in 'em)- Fold reasonably well into a coat-pocketable clump- Durable as heck (other than the replaceable foam earpiece covers).  I use the heck out of these, and they take it in stride.Cons:- Look pretty un-cool.- Foam earpiece covers need replacing every 50 or so uses - cheap and readily-available from Koss, takes a minute to do.","04 3, 2005",5.0,B00001P4ZH,"Awkward-Looking, But Great Sound!",A. M. Cohen
"[1, 1]",1299024000,A2M7G89B9WKLG9,"After doing a bit of research this headphone was recommended as the best portable headphone in the price range, which I mostly agree with.The good:-Great sound quality. Bass booms and highs sound clear.-Much more comfortable than in-canal buds (this may be more of a personal choice).-Stylish but not too garish.The bad:-My hair gets caught in the adjustable band sometimes.-Feels little bit loose on my head, even when it's secure.Also, this is more of a peeve, but the included ""carrying case"" is really just terrible. It's very hard to fit the headphones in there, even when they are folded as small as they can possibly be. You can tell Koss really cheaped out on the material for the bag, it's just too small.","03 2, 2011",4.0,B00001P4ZH,Good value,amit
"[1, 1]",1288915200,A21NY1BE30PD7J,"I've owned these for 22 years and still like them. They're a good compromise between tiny portable earphones and full-size home headphones. They sound good and are apparently durable, as I've been using the same pair for all these years. My only reservation is that the foam earpads tend to get damaged when you toss them in a bag with other items, so use the case. I don't remember if mine came with one. Also, consider buying the replacement earpads. I've worn a couple pair out and damaged a couple pair.It's possible that those in-ear earphones have caught up in sound quality, so consider those. I'm not in a hurry to replace my Porta Pros, though.","11 5, 2010",5.0,B00001P4ZH,Still good after 22 years,Amy Hughes
"[2, 2]",1394841600,A2QAGLOY2VFUYU,"That's about it, really honest headphones, cheap and the sound is quite balanced. Headband pressure adjustable (firm / light). I find the firm a bit too tight but it's a good setting when being active. Totally recommend.","03 15, 2014",4.0,B00001P4ZH,Best price/value headphones I ever had.,Andre Alho
"[92, 106]",1105920000,A14453U0KFWF31,"The first thing that needs to be said about these headphones is that they are really ugly. There can be no denying it. The weird earpieces with the bar atop is just ugly, ugly, ugly. That said, these are easily the most comfortable portables I've worn, a situation largely a product of the very features that make the set ugly. Additionally, the sound is good. I don't feel the sound is as orgasmically supreme as other reviewers suggest, but the sound is very good. If you listen to a lot of Jazz or classical, some senns might serve you better. If you listen to more rock and hip hop, you'll be pleased with the portapros, if only for the comfort, which is truly exceptional. I use them with my iPod, and am well pleased.","01 17, 2005",5.0,B00001P4ZH,Good where it counts,"Andre M. Behrens ""Thai Food Devotee"""
"[3, 4]",1103241600,A2GNP3FHYG63XI,"These are simply the best headphones that you can purchase for an under $100 price tag, and they are under 50$! Very full, clear, sound with an amazing amount of bass. The styling isn't the greatest in my opinion, but the amazing sound quality more than makes up for it.","12 17, 2004",5.0,B00001P4ZH,Simply Amazing!,Andrew
"[3, 3]",1398038400,A35Z3TBNCQU3VY,"Despite looking like they are straight out of 1993, these headphones sound like 2014.  Amazing sound quality that matches my studio headphones, with a durable 'on-the-go' construction.  Base is solid, highs are not peaky or harsh on the ears, and the mids are smooth and warm sounding.Very comfortable on the ears.My original pair stopped working, and I sent them to Koss and for $10 I had a brand new pair sent to me within 2 weeks!!Only complaint is that the way the metal band is designed with two pieces it can pinch your neck hair when sitting around your neck instead of on your head.  Minor complaint but it hurts!","04 21, 2014",5.0,B00001P4ZH,My favorite headphones.,Andrew Walker
"[2, 2]",1251763200,A1QK3W42I9LS30,"Pro's-Excellent sound quality-Reasonably durableCon's-Fit-StyleLet me explain a little about the cons, Very ugly headphones provided with some temple dampening system that does absolutely nothing. The metal band comes in a very unnatural round bend that make the temple pads barely touch my cranium so they leave me wondering who's oblong head might this design fit perfectly? I have been pondering bending the metal to fit me more properly but I really don't like the idea. The headphones metal bands will pull your hairs and also note if you like loud bass you might want to look elsewhere. There might be a better headset for your portable music needs but I have yet to find something above the sound quality of my porta pros","09 1, 2009",4.0,B00001P4ZH,Highly acclaimed,A. Nieves
"[1, 1]",1361836800,A1GCLR2XBUFH6,"There are great phones for sure. I have a collection of over ear, on ear, and in-ear phones and developed some critical listening ability and in my experience the Koss sound good. I'm not going to discuss all the genres for the sake of time, but they did sound good for classical and rock and EDM. The retrodesign is fine, but the mechanics of leaves me wary. It does catch my hair on a consistent basis, and despite the pressure settings over the ear, they somehow cause discomfort within an hour. I'm thinking that a relatively small percentage of people would share that experience. I do like the folding mechanism and the life time warranty! Nice. Yes, people say you get a lot for the money, but unless these are your only phones, I'd likely be reaching out for my 'other' phones.","02 26, 2013",3.0,B00001P4ZH,Going against the masses,Anna Jean
"[1, 1]",1357516800,A3IY8S20GL2IP4,"I've been wearing these daily for about 4 months now, and am extraordinarily pleased with them for the price. Yes, there is a caveat- I paid $40 for these, and for *that price* they have fit and/or surpassed all of my expectations. I believe these can compete with any headphones in the &lt;$100 range. I do have two complaints, though.Audio: 4/5. Bass is powerful, highs are clear, mids are crisp enough. Perhaps a little too well blended for rock (not much emphasis on treble), but fantastic for acoustic/instrumental pieces and hip hop.I dock 1 star because of the utter lack of sound isolation. Having on-ear pads with no noise cancellation tech really means NO noise cancelling (duh). This is fine, but it also unavoidably detracts from sound quality when there is any noise around you. The pads also bleed sound easily- I had to be mindful even playing at half volume in public.Aesthetic: 5/5. As authentically retro as you can get, since they are literally from the 80's.Build quality: 5/5. Simplicity makes for durability in this case.-1 for hurting your ears after a couple hours of wear. Fortunately, you can adjust the pads so they angle away from your ears, shifting the pressure up to the side of your head. The springy metal band will allow these to fit any head size. +1 for the 90 degree input jack. Straight jacks get bent out of shape too easily; this design won't suffer the fate of many a pair of iPod earbuds.For the price, there is no superior. That much I will assert strongly. If you want audiophile headphones and have over 100 to spend, or want noise cancellation (take the metro to school/work? you won't want to use these.) then I advise looking elsewhere. If you are on a budget and want simple quality without the bells and whistles, these are perfectly suited for you and you will enjoy uncompromising sound quality.","01 7, 2013",5.0,B00001P4ZH,Know what to expect and your expectations will be met!,Anonynja
"[1, 1]",1358640000,A3DGGVZIS0QCQ9,"Had these in college in the early 2000s and now again a decade later. Kind of a cult following of audiophiles, fashion lovers, and retro freaks back then and now. Great punch and bass for a small and simple headphone.  Very good price from Amazon for $30ish vs. Msrp $50 or even higher for limited edition colors or cable volume control.  Great alternative to ear buds or full cans, somewhat portable because they can fold up but they are a little flimsy so I would not recommend packing them tightly or under heavy weight in luggage. Obviously not closed so neighbors will hear your music at louder volumes. However this isn't a problem in louder public venues like the bus, subway, airport, train stn,etc.","01 20, 2013",5.0,B00001P4ZH,"Lots of bass, reasonable price, old school style",Anthony U.
"[2, 3]",1356566400,A2NXHKW2R4IZNG,"i have tried a lot of portable cans - everything ranging from cheap gumdrops, all different beats up to bose noise cancelling) - I always end up coming back to the koss porta pro. Its can fold up into a small package like a mini transformer, its comfortable  (i never got hair stuck - unlike my akgs) and the sound is amazing. Bass is strong, the mids are pretty good. Its very good for current day music. It is very energy efficient - can set your iphone at halfway and still get good sound.I wouldn't recommend it if your musical set is acoustics or other lighter genre however still much better than say stock buds.","12 27, 2012",5.0,B00001P4ZH,koss porta pro - perfect portable can,"Antho ""Tony"""
"[0, 0]",1404000000,A2CUOPUW0ZDPW6,"Bought these for Christmas, they don't fit to head very well and tend to snap off if bumped.  These are very light weight.  They are still working though.","06 29, 2014",3.0,B00001P4ZH,ok but not for a lot of use,Arnettjdmcabr
"[1, 1]",1354320000,A3H6HJSLFNLGMA,"Work well and easy to use.  The cord is to short, but the sound, build quality, and weight are are outstanding.  These headphones excel in these most important areas.  I will constantly pick them over a more expensive heavy set.","12 1, 2012",5.0,B00001P4ZH,Quality of sound is out standing!,"Arthur J. Borges Jr. ""ajb"""
"[1, 2]",1386720000,A20WH8FQNXNZSP,"It works,.... the sound really come out from the phones. Just not as good sounds as I thought, or maybe I just played crappy music with lousy mp3 quality, downloaded from unreliable source. I confused.But the good thing is, I can bring it to airplane and don't have to use that even crappier headphones from airlines! yeay!It's not as pretty as it look from the picture though, I think that Beats by dr.Dre look more sturdier than this.","12 11, 2013",4.0,B00001P4ZH,"It works,.... the sound really come out from the phones.",A. Silitonga
