reviewTime,helpful,overall,summary,asin,reviewerName,reviewerID,reviewText,unixReviewTime
"07 11, 2013","[0, 0]",3.0,Ok quality,B0001FTVEK,Adam Lauer,A1LVKPR8EQ60B3,"Not great quality, Range is about 100 ft from what I have been able to test but has difficulty getting through walls.  Good to watch TV at night with your roommate or significant other sleeping",1373500800
"12 31, 2011","[1, 1]",5.0,Great Product,B0001FTVEK,adr44,A1EE9SJNPZ73IO,"My wife is hard of hearing, this product enabled her to hear TV,  It also has great sound! For the price a Great product!",1325289600
"10 17, 2010","[0, 0]",5.0,awsome!,B0001FTVEK,AgentOneArm,A2W45BZZ1Z2612,"Headset is awsome. Sound quality is great, fit great, and the abilty to charge them on the stand without having to hook up and disconnect cables everytime you want to charge them is a great design.",1287273600
"05 19, 2014","[0, 0]",3.0,"Nice , but not for me",B0001FTVEK,AGSJR,A1N8K5RXU7XCDA,"I like the sound and the stereo but I had a bit of difficulty trying to keep the sounds contained.I use the earphones so my wife can't hear the TV, but should could hear it across the room.The adjustment for the headset allowed me to give a number of positions, but didn't work still.I had to return it.",1400457600
"10 30, 2013","[2, 2]",5.0,Completely Satisfied,B0001FTVEK,A. Hearn,A3JM1TJILHPS7G,"I've had my Sennheiser headphones about 6 years and been completely satisfied with them. Just now, after much use, the plastic headband has cracked and I'm looking for replacements. Guess what I'm going to buy......you guessed it, another of the same make and model.I've found them to be extremely comfortable to wear, even when watching long movies on TV (my primary use). I use them particularly to watch TV shows in which I need help with hearing high frequencies, particularly women's voices. High frequency hearing deficiency is common with older folks like myself. These headphones have been a lifesaver in that respect.I also use them when watching high-quality musical programs. The outstanding music reproduction and stereo/surround quality of these headphones is amazing. Frequency response seems well balanced and doesn't have the high boom-boom bass of many modern headphones targeted to kids.Another use is that my wife likes to watch TV at low sound volume. I prefer higher volume. With the headphones we can each have it our way.I also like the fact that I can be watching a TV program and be able to get up and get a snack or take a bathroom break in the middle of a show and not miss any dialog. Yes, the further you get away from the sending unit, the more likely that the signal will break up but that's to be expected.In the 6 years I've owned them, I've only replaced the rechargeable batteries once, and that was simply a preventative measure, not a necessary one. I don't know how much useage is possible on a single charge because I've never had them expire. I normally use them two or three times and then put them back on the charger.I'm buying another pair and look forward to another 6 years or more of use.",1383091200
"12 4, 2012","[0, 0]",3.0,How much will static annoy you?,B0001FTVEK,AJ Hawks,A3L7HPEMZWF5YD,"I've had these for several years, and they ended up being a backup pair of headphones, rarely my primary set. I just decided to order some Sennheiser MM 400's to replace them though.PROS:* Good range, through walls, etc. They're in the 900MHz band, which does provide long range signal.* Comfortable fit* Good sound usually* Long battery life* Base station charges internal battery. I've never had to replace the battery.CONS:* 900MHz range, analog signal. It's like listening to AM radio. It crackles, if you shift your head the wrong way and hit some interference from something else, you hear a buzz, or it cuts out.* When there's no sound for a few minutes, the base station turns off and you get a loud blast of static in your ears. This happens a lot when I forget I'm wearing them and the playlist ends.* I don't like needing a powered base station for headphones. Takes up an outlet and desk space.* Constantly fiddling with the tuning nob to find the right frequency.I decided to go with the MM 400's for the replacement set, since they are bluetooth and can pair to my phone or computer, plus they have an audio cable port for airplanes, older sound sources, etc. They charge over USB so no base station. And they won't have the reception issues.",1354579200
"01 12, 2007","[2, 3]",4.0,Nice Product,B0001FTVEK,"A. Kaye ""AKAYE""",A9JHAI2Y9IKUQ,"I bought these headphones a while ago and they have been great.  Sound quality is adequate, i get next to zero static and the battery life is great too.  I would highly recommend this product.  It is a bit bulky though.",1168560000
"07 20, 2012","[0, 1]",1.0,A Total Disappointment...,B0001FTVEK,Aladdin,A1GRZLM53WSSQW,Very limited range for outdoor usage. Reception tuning is so crude. Wears uncomfortable. Definitely a RETURN. The 4/5-star reviews led to disappointment!,1342742400
"05 28, 2010","[0, 0]",5.0,Very Pleased,B0001FTVEK,Alan,A2RK96D6IJJWAE,"I bought these headphones for my father, who is in a nursing home and is functionally blind. He loves to listen to NPR and PRN and also books-on-tape. I needed a headphone that was wireless, with good sound quality, good range and a very easy charging dock. For all of these qualities the headphones delivered without disappointment! With Dad's impaired vision and some slight dementia, he is still able to get the headphones on and off without incident, and the way the charging is accomplished through the wire hoop that acts as a stand/holder for the headphones was pure genius on the part of Sennheiser!The range is good enough that he can not only listen anywhere in his room, but even as he roams the halls and the dining room! There are controls right on each headphone earpad , one for on/off and the other for volume control, which Dad has a little trouble with, but I am sure were designed to be discrete for the average user. It took a little training to get Dad to be able to find and use those switches.Dad gets daily use out of these headphones and they have brought much enjoyment to his life.Our only concerns were about accommodating his needs. The switches on the headphones are a little difficult for older, stiffer fingers, and the two LEDs on the Base unit are too small for him to see easily. But this was never designed to be a tool for the visually impaired so it's hard to really fault there.The sound quality surprised me, and I may well buy another pair for home use for myself!",1275004800
"06 14, 2013","[0, 0]",5.0,Excellent! Long reach,B0001FTVEK,"Albert Martinez ""Al_Martinez""",A2K9TLO0XXBDVT,"Awesome unit. Has 3 channel frequencies and how you get audio from it is by turning an analog tuning knob on the side like an old time headset radio, but I'm not complaining, once it's set it works great. The range is not quite what they say it is but it can still reach through 3 walls. Light and very comfortable.",1371168000
"04 20, 2009","[0, 0]",5.0,great buy - very useful,B0001FTVEK,alchemyiam,A2MNHYUXMW4KW7,Made the mistake of not reading the instructions carefully which caused me to waste quite a bit of time. Recommendation - read instructions carefully.The sound quality is very good. As previous folks have mentioned - to reduce the static/hiss - you need to increase the input power to the phones and then reduce the volume using the control on the headphones.Phones are comfortable and easy to use once setup correctly.I bought an extra set of phones and they both work well of the same RF transmitter.Wish I had bought these a long time ago. TV noise is now not a problem.I plan to also buy another RF transmitter plus headphones to run on my computer.,1240185600
"12 31, 2013","[0, 0]",3.0,Interferance,B0001FTVEK,"A. Leblanc ""The Author""",AL9MTILKJR4Q9,Liked the quality of the sound but outside interference became an insurmountable obstacle ... tried every suggested fix but nothing worked. Disappointing ...,1388448000
"04 1, 2013","[1, 1]",2.0,Disappointing,B0001FTVEK,"Alexandru Munteanu ""Saneok""",A24KI63IIV0SMV,The headphones work but there are many issues. The main one being the annoying background noise and the the even more annoying noise that starts if the headphones are not used for a while. Would not recommend this product.,1364774400
"09 6, 2013","[0, 0]",2.0,Sennheiser RS120 Over-Ear 900MHz,B0001FTVEK,AlexG,A1K08P0VYHUEVU,"Let me start with the good news :D, :a. Price is goodb. Price is goodc. Price is goodd. Sound is good - Very good - when it actually works...Now let me elaborate on that, the problem I find is it has a &#34;tune&#34; dial and sometimes (most times) you hear interference, it is sort of the price you pay for a wireless product with an FM transmitter.  Now the bad part, is you can be listening to music and you decide to browse for songs, and if you are like me you like good music with good volume, so you are browsing your folders and BAM a loud noise from the deepest darkest location of FM Hell will leave you deaf ... or at least will attempt to.  See in accordance to FC regulations Sennheiser has to shut down the transmission when it is not being used, the sad part is you will hear a loud SHHHHHHH every time it decided to shut down, and it will happen often, there is no way to turn it off, fix it nothing.. it is what it is, the only solution I have found to this is I downloaded a program that does a random sound every 40 secs or so, and it re establishes the link so the death SHHH sound doesn't get me.So yeah.. oh and Sound is good... when it works",1378425600
"11 18, 2013","[0, 0]",5.0,comfortable and very clear,B0001FTVEK,Alex L. Shelton,A3SGKKMNG4BD0X,"I use it to shield others from the tv noise at times.  It actually makes some dialog more clear!  The recharging feature is great!  Nice, light and comfortable headphones.",1384732800
"01 3, 2007","[0, 1]",5.0,Great Product,B0001FTVEK,"Alex Shochat ""shalex""",A3ED9TZ1RPJ4F8,"Perfect! Perfect and clear sound, long battery life. Receipt thru few walls at least. Charging idea is great - never in problem to recharge )compare top others where ytou need to place headphones firmly). Save battery a lot - doesn't work when no input signal.Recomend A+.",1167782400
"01 20, 2014","[0, 0]",2.0,"Worked at first, then wouldn't take a charge",B0001FTVEK,"Alfred D. Cornell ""What you think, you are""",AHSHI2N7LDX28,"This was the most expensive Christmas gift on my list, and my brother in law couldn't get it to work after the first time using it.  I'm noticing a trend with Amazon electronic sales in the high dollar range, and it's not a good one.  Apparently if you spend more than $50 on anything shipped directly by Amazon, you're almost wasting your money.  I wish I'd bought this at Walmart instead.Extremely disappointed.",1390176000
"10 15, 2009","[0, 0]",2.0,Don't expect much!,B0001FTVEK,"Alfred M. Freitas ""coffeedrinker""",A37A72Y18II54B,"When I ordered Sennheiser RS 120 headphones I didn't expect very much and I wasn't disappointed.  This company has a great reputation for sound quality but the low price caused me to have doubts.The sound quality would be acceptable if the ""hiss"" from the transmitted sound were not so pronounced.  The tuning adjustment is of some help but to tune all of the ""hiss"" out so degrades the audio quality that the device is unusable.It appears that if the audio input levels are even slightly low the ""hiss"" is very loud and annoying.  Turning the input level up does help but that defeats the purpose of the earphones (having a silent TV).  Using the audio out of a receiver with a standardized-fixed level is inadequate to control the RF ""hiss"".The fit and comfort of the headset is acceptable but don't expect to wear the headphones for an extended period.Overall the RS 120 would be a good buy but the annoying hiss detracts to the extent that I would not recommend this unit until the manufacturer addresses the noise level at low signal inputs.It will pay you, I think, to look to a different manufacturer or spent a little more to purchase a better quality product from Sennheiser.",1255564800
"10 29, 2012","[1, 1]",3.0,"Sound is good, some interference, not super comfortable",B0001FTVEK,Allan R,ANB0OKIDLNTZ,"I bought these headphones as a good compromise between something *really* expensive, and something really cheap.  For the price, they deliver a very good sound.  I'm not going to go into the sound so much, as there are plenty of reviews for that, but a few things I did find were that I concur with other reviewers that there is some interference/static.  I don't have to go very far in my house to start hearing slight static noises, especially if I go into another room.  Normally I wear these if I'm doing housework, or vacuuming, and walking around causes some annoying static.  Not enough to ruin the listening experience, but more than I want.  Also, these are uncomfortable on my head.  The ear cups are flat, not cupped, and when they are on my ears, part of it presses against my jawbone near my ear, causing discomfort after just a few minutes of use.  I was going to return them for this problem, but I find that if I turn them around, the shape of them holds them off my jawbone.  It looks funny, and there the sound is not as rich as if they were fully cupped on my ears, but it's the only way I can wear them comfortably.  Even still, as with most headphones I've found, they get uncomfortable after a few hours of wearing (they are not very light).Overall, I bought these for the wireless ability, and they work very well for that (even with some static issues).  But as a set of headphones (if they were wired), they are not that great, not ergonomic (for my head) and not very light.",1351468800
"02 26, 2009","[0, 0]",2.0,My House Evidently Doesn't Like These Headphones,B0001FTVEK,"Allan V. Luster ""Allan""",A84MZT0GMRKQW,"I bought two sets of these headphones, one for use in my bedroom and one for the living room. The first night I set them up they worked perfectly for 2 hours. The next day I was not able to receive a signal at all in the living room, although the bedroom pair was working fine. I swapped them around and discovered each pair worked fine in the bedroom, but not in the living room. I bought a long cable extension to move the transmitter out of the living room, but that didn't help.I must be getting some kind of interference from somewhere. The bedroom pair started picking up static as well after a week, so I gave up on them. I would rather have a wire connection and know I will have good sound than wonder if my headphones are going to be working or not. But you may not have the interence problems I have. When they work they are good headphones.",1235606400
"05 24, 2010","[0, 0]",4.0,Sennheiser wireless headphones,B0001FTVEK,Allen D. Glenn,A2R8EU7CYB9YWC,"I was so pleased with the first one of this item, that I almost immediately bought another. It is very pleasant to be able to hear TV and movies  without disturbing everyone else in the house. My only complaint is the off/on switch; it is hard to move on each one I bought.",1274659200
"04 2, 2013","[0, 0]",3.0,"Love the freedom, hate the squeal.",B0001FTVEK,Allyn,A2AVKGSNUB5ES5,"I bought this to practice playing bass without inflicting the experience on my neighbors. I admit to having multiple wireless electronics in the area that could be influencing the lack of clean sound. It may not be the product's fault at all. I've tried all the channels and fine tuning the frequencies, with no luck. I eventually get past the high squeal, because once the backing track is playing and I'm playing bass to the backing track, the squeal is negligible. You may have a better environment. It has been robust with no problems, charges fully on the dock and has a great sound.Comfortable ear pads and quality construction.",1364860800
"03 22, 2014","[0, 0]",5.0,Sennheiser RS120 On Ear 926 MHz Wireless RF Headphones with charging cradle.,B0001FTVEK,Al Neuman,A3HIEMJQ38283W,"I have been using these for six or seven years. ( I am on my second pair, ( nothing lasts forever )) I couldn't imagine being without them. I have had family and friends buy these with my recommendation and they are all pleased!",1395446400
"01 3, 2012","[0, 0]",5.0,Great wireless headphones!,B0001FTVEK,alouise,A27M8WVJCNA4EF,"I bought these for my 102 year old Mother who has trouble hearing the television.  After reading the reviews for the Sennheiser RS120, I decided to buy them for her.  They are wonderful!!  Mom can hear the television now and she can work the on/off controls and volume setting with no problem.  Since she is in an assisted living center, it was not practical to turn the TV up so much because it would disturb other residents.  The sound quality is so much better than I anticipated, given the price.  I'm telling everyone about these headphones.",1325548800
"02 10, 2012","[0, 0]",5.0,"Almost perfect, but not for small heads.",B0001FTVEK,"Alun Whittaker ""AlunHW""",A3U2T6T0GGE2JP,"These are absolutely the best headphones (not just the best cordless headphones) I have ever used. Everything about them is great, so I'll just mention a couple of specially favorite features:* The ""coat hanger"" on the base unit looks a little odd but you'll find that you can drop the headphones onto it and start them recharging. There is no need to place them carefully or jiggle them around to make an electrical contact for charging, as most other products require.* The three position channel selector on the base/transmitter is great, allowing you to find the best, interference-free signal, but better still is the fine-tuning control on the headphones themselves (that's in addition the volume control). If, while listening, you wander into an area of the building where the signal drops, loses quality, or picks up interference, you can use this fine-tuning control to bring back the best quality listening, often without needing to adjust the volume control.My only (very small) criticism is that the headphones seem to be made for someone with a somewhat larger head than mine. I think I'm a fairly typical adult male, and yet I need to wear these headphones with the headband adjusted to the smallest, tightest setting. Even so, when tilting my head forward and downward its necessary to grasp the headphones to prevent them falling off. In most circumstances, the headphones fit very comfortably, and a little care when moving around is a small price for the brilliant audio quality, but for children or smaller-headed adults, this could be a problem.",1328832000
"07 31, 2012","[0, 1]",2.0,Overpriced and poor design,B0001FTVEK,Amanda J. Gorall,AUX1SI5QUC5S5,"While the headphones themselves are really nice compared to nothing, I would really not advise anyone to get them at this price.If they don't have an audio feed, say if you have a game or movie paused, for more than five minutes they start with a loud hiss and pop that may have already damaged the drivers themselves.Pretty uncomfortable for a wireless set, the foam and design of the earpads are like a form of torture after an hour.Very disappointed, I got a wired gaming headset recently for a bit more in price and the difference and experience is drastically better.My opinion, DON'T BUY. Get a cheaper set of wireless headphones that have the same quality, or just pay a bit more for something a lot better. That is up to you to decide.",1343692800
"10 30, 2013","[1, 1]",5.0,Work well with electric guitar amp,B0001FTVEK,"AM ""Andy""",A3PQTLORUKTSQU,"I use these with the transmitter plugged into the headphone jack of an electric guitar amp.  Sounds really good and doesn't drive others out of the house. I've had mine for years -- even though the price has gone up, I would still recommend them.",1383091200
"04 7, 2014","[0, 0]",5.0,Love these headphones!,B0001FTVEK,"Amazon Customer ""FingersTX""",A2VN3J0RTELCRV,"These headphones perform as advertised, were easy to install, no extra plugs needed, and I can walk around the house wearing them and doing chores without missing anything.  Makes vacuuming a delight!  I did experience a little interference, but it was negligible.  My husband, who has diminished hearing, loves them, too.  He wears them when he takes the dogs out in the back yard (big yard).  Took some things to the neighbor next door and said he never missed a word.  Need to buy another unit.I would recommend these to anyone who suffers from hearing loss or who just wants to move about in their house or on their property and not miss their shows.",1396828800
"08 16, 2011","[0, 0]",4.0,Good wireless sound and convenient charging,B0001FTVEK,Amazon Customer,AFNG8O2DXRCUV,"For stereo headset, this pair is above average for $30 - $100 pair. The sound is clear and bass is adequate. The ear muffs are flat, so it feels like some flat board pressing against my ears with a cloth in between. It's comfortable but definitely doesn't ""hug"" your ear if you know what I mean.With proper tuning (adjustment to find best reception), it sounds really clear with occasional hissing when I'm viewing TV at 14 feet away. Going away to outside of room, it is still clear around 25 feet even though there are walls separating me and the base unit (charging cradle). This is descent enough for me and I'm happy with it.I'm also really appreciating with the fact that no need to plug into the headphone for charging.  So far I'm using it for 1.5 hours on the charge.  I have not try to run down the battery to find out how long the two AAA size re-chargeable batteries can really last.",1313452800
"02 11, 2014","[0, 0]",5.0,Personal quality sound,B0001FTVEK,Amazon Customer,A2OHP5O94ZYE2T,I have had these headphones for a couple years and the batteries still remain fully charge.The quality is great and they are comfortable to wear. The only negative comment is that theysometimes slip easily while wearing them.,1392076800
"11 8, 2011","[0, 0]",5.0,Best Headphones I've Ever Purchased,B0001FTVEK,Amazon Customer,ADTG5DS3C1XPB,The quality of these headphones are superb. Audio is crisp and clear. I love the freedom of walking around the house listening to music w/o disturbing my wife as she watch tv etc.,1320710400
"06 4, 2013","[0, 0]",4.0,Good with a small bit of irritation,B0001FTVEK,Amazon Customer,ARZLR3ZM1O5J4,"These do work, and the sound range and detail is particularly good.  The charging works well, and the sound isolation is fantastic.  I can basically only hear what's coming through the headphones when they're on with something coming through, and nobody can hear what's coming through but me.  However, I have an underlying chirp coming through mine every few seconds.  When the volume is higher, there's absolutely no issue.  In soft volume, it's a bit of a nuisance.",1370304000
"07 24, 2008","[0, 0]",4.0,"Great sound, comfortable to wear",B0001FTVEK,Amazon Customer,A3SB2TK2WHUCBV,"These headphones were easy to setup out of the box.  The only real minor challenge was to manually tune the headphones to receive audio.  After tuning, the sound comes out great.  As other people have mentioned, there is a low hissing noise when no audio is coming from the source, but it's minor.  I can walk around my apartment with these headphones and the audio comes through pretty clear though I've had instances where the sound did cut in and out momentarily---probably interference from some external source. The phones are comfortable to wear because it has good padding and is light weight.",1216857600
"01 7, 2008","[0, 0]",4.0,Good sound...short review,B0001FTVEK,Amazon Customer,AQMDSQNGGLM30,"Very good sound, not so much from a TV source, as described by other reviewers.  Meaning, slightly hissy during low sound transmissions.Ear muffs are large, they probably could have been designed a bit smaller but are comfortable.Works great for me, just what I wanted.PS: Bought these for my wife, so when she watches TV and I have to do work, I can stay in the same comfortable room and neither of us are disturbed.Sennheiser (German) is a great and recommended brand.N-Joy!",1199664000
"12 23, 2013","[0, 1]",2.0,Terrible,B0001FTVEK,Amazon Customer,A1EIFF5274WF4V,This unit's power cord would not keep proper contact to keep the base powered on.  The headphones did not set on the cradle well enough to make contact so they would charge.  I had to put a little weight to the top of the headphones so they would charge.  I've returned them.  Stay away from these!,1387756800
"12 1, 2009","[1, 1]",1.0,Not happy with these,B0001FTVEK,Amazon Customer,ANAXV82XD0KAB,"I bought these about 1-1/2 years ago and they have stopped working.  I can receive music (coming from who-knows-where) and radio signals loud and clear but I'm trying to receive my TV stations and suddenly I can't.  They are also very loose and will fall off my head if I lean forward at all.  I was willing to put up with the looseness but now they cannot be used at all.later: they started working again and I'm pleased with the sound but they are still very loose.  Don't know what to do about that.It's now 2013 and I'm still using these so I guess I did get my money's worth BUT there seems to be a short in them.  They are either on (very loud) or off, nothing in between.  I'm not looking to upgrade and confused about what to buy.",1259625600
"09 20, 2008","[1, 1]",5.0,Love Them,B0001FTVEK,Amazon Customer,A267L1OWC7DDJV,I have only used the headphones a few times (I got them so I could listen to the television while my wife was sleeping) and the sound was clear and static free.  The headphones are light and comfortable and I can roam throughout the house and get clear reception.,1221868800
"04 11, 2014","[1, 1]",5.0,Love my Sennheiser!,B0001FTVEK,Amazon Customer,A8TWBP743BDCL,"I'm hearing impaired and hated having to raise the volume on my tv. Thanks to my Sennheiser, I can hear clearly without bothering anyone. I got an additional headphone for my hubby (who stays up late watching tv). This way, he can enjoy his programs without waking me up!. I can go about my chores while listening to music or news because it has an excellent range. I've even gone outside my house and can still pick up the sound. By the way, I can use my hearing aids while using the headphone and it's not uncomfortable but I usually don't use them because the volume control can be raised significantly. I really recommend these headphone for anyone who has difficulty hearing or doesn't want to bother others. I've had these headphones for a couple of months and now, with the really hot weather approaching (I live in the tropics), I want to see if I don't get too hot wearing them.",1397174400
"01 25, 2009","[1, 1]",4.0,Finally a cordless headphone that works!,B0001FTVEK,Amazon Customer,A1GPHMYUYRRQVB,The RS120 Wireless RF Headphones work great. It has better than expected bass response. I use it to watch movies and tv shows. It works throughout my home and is very convenient when I need to leave the living room to do something.  It stays on frequency almost perfectly.  This is a keeper.  I love it.  The only negative is that the headphones slip off the head pretty easily when I bend over. The batteries last longer than a 3 hr movie.,1232841600
"01 7, 2014","[1, 1]",5.0,Great wireless,B0001FTVEK,Amazon Customer,A187ADBPN8OOY7,These work just great for my application.  I purchased an additional two pair of rechargeable batteries and when the ones in the head phones go dead I just change them out.,1389052800
"11 9, 2013","[2, 2]",5.0,"For anyone who wants loud, clear sound, without bothering others.",B0001FTVEK,Amazon Customer,A121SOXYNM6931,At night I use this so my wife can sleep - she works early in the day.  I had no idea it could provide such sound quality and clarity.And I'm rather hard of hearing so often can't distinguish dialogue from background sounds - this really does a fine job.,1383955200
"05 22, 2008","[2, 2]",4.0,"3 years later, still pretty good",B0001FTVEK,Amazon Customer,A31E13XZ2G6ZDF,"We got these in 2005 and three years later they are holding up pretty well.They still hold a charge well and the sound is fine.  The only issue is that the metal area at the top of the headphones that comes in contact with the charging stand gets extremely corroded over time.  It gets harder and harder to get the red light to come on indicating that it is recharging.  Scraping off the corrosion seems to help, but it would be better if the charger connected differently so this didn't happen.They are surprisingly durable and have survived numerous drops on a hard floor.",1211414400
